bible,
journal,
stationary,
reading book,
-,
sleeping bag,
pillow,
sleeping mask,
-,
laptop,
laptop charger,
iPad,
iPad charger,
phone charger,
-,
water bottle,
umbrella,
plastic bags,
paper/napkins,
-,
socks,
pants,
underwear,
shirts,
hoodies/sweatshirts,
jacket,
pajamas,
athletic pants,
LG/class shirts,
-,
towel,
shampoo,
toothbrush,
toothpaste,
razor,
-,
sunglasses,
contacts,
contact solution,
-,
speaker,
cards,
-,
snacks
